Epic Song
EpicSong.mp3
999	1	0
1787	1	0
2548	0	2
3157	1	3
4127	1	0
4918	1	0
5706	0	2
6309	1	3
7293	1	0
8120	1	0
8901	1	0
9705	1	1
10463	1	0
11267	2	3
12779	1	0
13661	2	0
14437	1	2
15242	1	0
15842	1	0
16825	0	2
17602	1	0
18396	1	0
19018	2	0
19987	1	2
20792	1	1
21555	1	0
22175	1	3
23151	1	0
23931	0	2
25518	1	0
26302	1	0
27102	2	3
27876	1	0
28501	1	0
29457	0	2
30283	1	0
31079	1	1
31686	1	0
32648	1	0
33446	1	0
34257	1	2
34841	1	0
35825	1	0
36628	0	2
37432	1	0
38202	1	0
38982	1	3
39765	2	0
40603	1	2
41196	1	0
42162	1	2
42968	1	0
43769	1	2
44381	1	0
45324	1	2
46152	1	0
46934	1	2
47502	1	0
49283	1	0
