Epic Song
EpicSong.mp3
1300	1	0
2541	0	2
3137	1	0
4130	1	0
4928	1	0
5705	2	0
6302	1	2
7295	1	0
8092	1	0
8869	0	2
9472	1	0
11051	1	1
12842	1	0
13457	2	3
14408	1	0
15208	2	0
15794	1	2
16782	1	0
17580	1	0
18378	0	2
18970	1	0
20739	1	0
21537	2	0
22129	1	2
23708	1	1
25499	1	0
26285	1	3
27078	1	0
27859	0	2
28462	1	0
30247	1	0
31425	2	3
32614	1	0
33412	1	0
34198	0	2
34786	1	0
36370	1	1
38150	1	0
38942	1	0
39740	1	0
41119	1	2
42107	1	0
42899	1	0
43686	0	2
44284	1	0
45276	1	0
46063	1	3
46845	2	0
47453	1	2
49334	1	0
